id	date	court	title	result	keywords	laws
12706	2015-07-30	東京地方裁判所	相続税更正処分取消等請求事件	取消	更正処分,過少申告加算税,財産評価	国税通則法65条,相続税法19条,相続税法22条
12711	2015-08-26	東京高等裁判所	法人税更正処分等取消請求控訴事件	取消	更正処分,過少申告加算税,寄附金,交際費	法人税法37条
12716	2015-08-27	大阪地方裁判所	法人税更正処分取消等請求事件	取消	更正処分,過少申告加算税	国税通則法65条,法人税法22条,法人税法61条
12719	2015-09-09	東京地方裁判所	法人税更正処分取消請求事件	取消	更正処分,寄附金,交際費	法人税法22条,法人税法37条
12720	2015-09-15	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,課税処分,過少申告加算税	所得税法36条,法人税法22条,法人税法34条
12724	2015-09-24	最高裁判所	法人税更正処分取消等請求上告及び上告受理事件	取消	更正処分	
12725	2015-09-25	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税,仕入税額控除	国税通則法65条,法人税法132条,法人税法22条
12727	2015-09-29	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税,財産評価	国税通則法65条,法人税法22条,法人税法61条
12731	2015-10-05	長崎地方裁判所	更正処分等取消請求事件	取消	更正処分,過少申告加算税,不当利得	国税通則法65条,法人税法22条,消費税法2条
12732	2015-10-08	東京地方裁判所	法人税更正処分等取消請求事件	取消	更正処分,過少申告加算税	国税通則法65条,法人税法22条
12740	2015-10-15	東京高等裁判所	法人税及び消費税等更正処分等取消請求控訴事件	取消	更正処分,過少申告加算税,損金算入,信義則	国税通則法65条,法人税法22条
12741	2015-10-15	東京高等裁判所	法人税更正処分等取消請求控訴事件	取消	更正処分,過少申告加算税,損金算入,交際費	法人税法22条
12745	2015-10-29	東京地方裁判所	課税処分等取消請求事件	取消	更正処分,課税処分,重加算税,寄附金	国税通則法68条,所得税法27条,所得税法37条
12748	2015-10-30	広島高等裁判所	法人税更正処分取消等請求控訴事件	取消	更正処分,課税処分,重加算税,過少申告加算税,青色申告	国税通則法68条,国税通則法70条
12751	2015-11-04	広島地方裁判所	所得税更正処分等取消請求事件	取消	更正処分,過少申告加算税,必要経費,青色申告	国税通則法65条,所得税法37条
